county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,State fips,death_rate_confirmed,death_rate,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Census,Estimates Base,comfirmed_cases/population
Autauga,Alabama,1001.0,2417,36.0,2165.0,33.0,1,0.015242494226327945,0.014894497310715763,0.053,0.074,0.134,0.295,0.444,54571,54597,0.039673086437851605
Baldwin,Alabama,1003.0,7523,84.0,6309.0,80.0,1,0.012680297987002695,0.011165758341087332,0.083,0.059,0.098,0.323,0.436,182265,182265,0.03461443502592379
Barbour,Alabama,1005.0,1117,9.0,765.0,9.0,1,0.011764705882352941,0.008057296329453895,0.067,0.121,0.12,0.201,0.491,27457,27455,0.027861747459664202
Bibb,Alabama,1007.0,973,17.0,873.0,13.0,1,0.014891179839633447,0.017471736896197326,0.02,0.034,0.096,0.278,0.572,22915,22915,0.038097316168448615
Blount,Alabama,1009.0,2488,34.0,1904.0,33.0,1,0.017331932773109245,0.013665594855305467,0.053,0.114,0.18,0.194,0.459,57322,57322,0.03321586825302676
Bullock,Alabama,1011.0,673,19.0,631.0,15.0,1,0.02377179080824089,0.02823179791976226,0.031,0.04,0.144,0.286,0.5,10914,10911,0.05781564962433572
Butler,Alabama,1013.0,1068,41.0,1014.0,40.0,1,0.03944773175542406,0.03838951310861423,0.102,0.053,0.257,0.137,0.451,20947,20940,0.048407886570869335
Calhoun,Alabama,1015.0,5429,77.0,4577.0,68.0,1,0.014856893161459472,0.014183090808620373,0.152,0.108,0.13,0.167,0.442,118572,118526,0.03860101879027089
Chambers,Alabama,1017.0,1545,48.0,1005.0,41.0,1,0.04079601990049751,0.031067961165048542,0.117,0.037,0.15,0.136,0.56,34215,34169,0.029373081981587022
Cherokee,Alabama,1019.0,892,15.0,642.0,14.0,1,0.021806853582554516,0.016816143497757848,0.135,0.027,0.161,0.158,0.52,25989,25979,0.024702758859517487
Chilton,Alabama,1021.0,2053,36.0,1847.0,29.0,1,0.01570113697888468,0.01753531417437896,0.06,0.07,0.058,0.194,0.618,43643,43632,0.04232064706825837
Choctaw,Alabama,1023.0,409,12.0,376.0,12.0,1,0.031914893617021274,0.029339853300733496,0.049,0.038,0.126,0.219,0.568,13859,13858,0.027130384587632585
Clarke,Alabama,1025.0,1485,18.0,1211.0,16.0,1,0.013212221304706853,0.012121212121212121,0.049,0.088,0.164,0.268,0.43,25833,25833,0.046878024232570745
